gamma,tau,central_I,saturated
1.0,20.0,1.0,1
1.0,37.14285714285714,1.0,1
1.0,54.285714285714285,1.0,1
1.0,71.42857142857143,1.0,1
1.0,88.57142857142857,1.0,1
1.0,105.71428571428571,1.0,1
1.0,122.85714285714286,1.0,1
1.0,140.0,1.0,1
1.5714285714285714,20.0,1.0,1
1.5714285714285714,37.14285714285714,1.0,1
1.5714285714285714,54.285714285714285,1.0,1
1.5714285714285714,71.42857142857143,1.0,1
1.5714285714285714,88.57142857142857,1.0,1
1.5714285714285714,105.71428571428571,1.0,1
1.5714285714285714,122.85714285714286,1.0,1
1.5714285714285714,140.0,1.0,1
2.142857142857143,20.0,1.0,1
2.142857142857143,37.14285714285714,1.0,1
2.142857142857143,54.285714285714285,1.0,1
2.142857142857143,71.42857142857143,1.0,1
2.142857142857143,88.57142857142857,1.0,1
2.142857142857143,105.71428571428571,1.0,1
2.142857142857143,122.85714285714286,1.0,1
2.142857142857143,140.0,1.0,1
2.7142857142857144,20.0,1.0,1
2.7142857142857144,37.14285714285714,1.0,1
2.7142857142857144,54.285714285714285,1.0,1
2.7142857142857144,71.42857142857143,1.0,1
2.7142857142857144,88.57142857142857,1.0,1
2.7142857142857144,105.71428571428571,1.0,1
2.7142857142857144,122.85714285714286,1.0,1
2.7142857142857144,140.0,1.0,1
3.2857142857142856,20.0,1.0,1
3.2857142857142856,37.14285714285714,1.0,1
3.2857142857142856,54.285714285714285,1.0,1
3.2857142857142856,71.42857142857143,1.0,1
3.2857142857142856,88.57142857142857,1.0,1
3.2857142857142856,105.71428571428571,1.0,1
3.2857142857142856,122.85714285714286,1.0,1
3.2857142857142856,140.0,1.0,1
3.8571428571428568,20.0,1.0,1
3.8571428571428568,37.14285714285714,1.0,1
3.8571428571428568,54.285714285714285,1.0,1
3.8571428571428568,71.42857142857143,1.0,1
3.8571428571428568,88.57142857142857,1.0,1
3.8571428571428568,105.71428571428571,1.0,1
3.8571428571428568,122.85714285714286,1.0,1
3.8571428571428568,140.0,1.0,1
4.428571428571429,20.0,1.0,1
4.428571428571429,37.14285714285714,1.0,1
4.428571428571429,54.285714285714285,1.0,1
4.428571428571429,71.42857142857143,1.0,1
4.428571428571429,88.57142857142857,1.0,1
4.428571428571429,105.71428571428571,1.0,1
4.428571428571429,122.85714285714286,1.0,1
4.428571428571429,140.0,1.0,1
5.0,20.0,1.0,1
5.0,37.14285714285714,1.0,1
5.0,54.285714285714285,1.0,1
5.0,71.42857142857143,1.0,1
5.0,88.57142857142857,1.0,1
5.0,105.71428571428571,1.0,1
5.0,122.85714285714286,1.0,1
5.0,140.0,1.0,1
