r,phi_r
0,-814.3043559650353
1,-809.7398651540332
2,-797.5769829681025
3,-780.8479468833202
4,-759.5221371718791
5,-727.8038571820747
6,-693.691698827905
7,-657.2773215340627
8,-617.6668120943004
9,-579.4961914469812
10,-542.0364738962307
11,-506.0616558912073
12,-470.285455686165
13,-432.8795798201229
14,-398.00376060594994
15,-366.3089459775886
16,-335.88131782583696
17,-305.89231463002085
18,-276.0194395879661
19,-248.58766802762042
20,-223.59191189805148
21,-198.05095629355614
22,-174.8677206793242
23,-153.53515067736438
24,-132.8584314605612
25,-112.52006626096764
26,-92.50370836498858
27,-74.97211276249293
28,-58.95637088925737
29,-42.778549719735146
30,-27.830191972120517
31,-13.041125273181589
32,0.029639609274056403
33,12.95200300485319
34,24.976080392923937
35,35.56773721822758
36,46.447395840744534
37,55.36599626153277
38,65.62348225016898
39,73.68253589170314
40,80.8374988506995
41,88.95469235693022
42,95.22841710500171
43,102.4076227647576
44,107.27148229082805
45,112.28856321824414
46,117.7111763614631
47,120.70669050672215
48,126.19695373835431
49,127.57390885414242
50,135.09890926780713
51,147.05057434828768
52,152.61484207024964
53,161.76848936851408
54,165.92943893471198
55,171.2194932721821
56,176.0475567144322
57,180.37036122589902
58,185.55006833208833
59,187.65584631813
60,192.17545027112584
61,194.14611132953436
62,197.08213820544302
63,199.27585474423725
64,200.8976550661035
65,202.89812570818
66,204.27542837606325
67,205.26219799707144
68,206.05304517225773
69,206.3830287656266
