r,I_r_hard,I_r_soft
0,1.0,0.9073125299782064
1,1.0,0.9784999503961127
2,1.0,0.9778217985871662
3,1.0,0.9910739873848657
4,1.0,0.9407394302132076
5,0.8786190143363196,0.852263417866781
6,0.6768936894186683,0.644199738883278
7,0.5357716786613218,0.5092613759269108
8,0.4200747168525228,0.3993246269214028
9,0.33462608797062476,0.31800532707390844
10,0.2683023671197196,0.2549080756731299
11,0.21631049789396867,0.20544414637928765
12,0.17419810349035098,0.1653929348171297
13,0.13788437081483992,0.130859911580764
14,0.109856960086478,0.1042143198438624
15,0.08855947275140992,0.08397335286950414
16,0.07127305530162337,0.06754952049860082
17,0.056939421147394594,0.053936998213485694
18,0.04488826930993518,0.042496460779849615
19,0.03559372808783315,0.03367745782880781
20,0.028416127404330065,0.026870400760880406
21,0.022252894843667822,0.021028691928785474
22,0.01752456875450398,0.016549588034899882
23,0.013852233124085024,0.013072970609379585
24,0.010871195163331751,0.010252662253571694
25,0.008400715600370326,0.007916944269610846
26,0.006403609402232001,0.006030195943441841
27,0.004937678583394727,0.004646283817425411
28,0.0038267094851337714,0.0035982625026095443
29,0.0029176043117133403,0.002741338425150163
30,0.002208214071925842,0.002073176800254475
31,0.001650169872113732,0.0015480081639497787
32,0.0012332235230787946,0.001155944411701463
33,0.00091854483641205,0.0008602999831742573
34,0.0006765905112032706,0.0006331717702395965
35,0.0004987978567562579,0.0004664122491231367
36,0.00036622382470385696,0.0003421742478684347
37,0.0002671018315439284,0.000249360789292115
38,0.00019089241194251473,0.00017806561402909448
39,0.0001359502323216148,0.00012670998978130983
40,9.780920457202891e-05,9.10893107126732e-05
41,6.9201778772991e-05,6.439558194641506e-05
42,4.834624890074966e-05,4.495143166741718e-05
43,3.338062819534922e-05,3.101098514758517e-05
44,2.301712411205915e-05,2.1365429034635902e-05
45,1.6001148937322885e-05,1.4840954560202444e-05
46,1.1057054034781126e-05,1.0247015950030474e-05
47,7.641585981641552e-06,7.075736731403605e-06
48,5.299517065716899e-06,4.902949621563817e-06
49,3.858527937551126e-06,3.566885961389794e-06
50,2.578732256216165e-06,2.3819745189975337e-06
51,1.5506550193707576e-06,1.4312464900286844e-06
52,1.0348793127387615e-06,9.544668454152867e-07
53,6.50396555101596e-07,5.994472677167602e-07
54,4.2335888627330295e-07,3.898967413339547e-07
55,2.7198005943220654e-07,2.502967486607459e-07
56,1.662349670254409e-07,1.5286319076438562e-07
57,1.0601347492565626e-07,9.741707778298976e-08
58,6.472792393603174e-08,5.943962942433423e-08
59,4.214508119101332e-08,3.867287475475584e-08
60,2.4701818975307124e-08,2.2651101611794737e-08
61,1.5627026176396534e-08,1.431911735192439e-08
62,9.513869459703873e-09,8.7118562975528e-09
63,5.7013040709432265e-09,5.216813308087424e-09
64,3.649828541971049e-09,3.3375724077440087e-09
65,2.1162073980626083e-09,1.9337844276349947e-09
66,1.2513785960545634e-09,1.142620888498159e-09
67,7.996050744802466e-10,7.296252390564484e-10
68,5.040453786867685e-10,4.595755208245668e-10
69,3.948808829323543e-10,3.5988948032759945e-10
