r,I_r,R_r
0,1.0,0.0
1,1.0,0.0
2,1.0,0.0
3,1.0,0.0
4,1.0,0.0
5,1.0,-0.15946001696108159
6,0.8557581824759394,-0.3267861185414194
7,0.6815156977016805,-1.221841713742484
8,0.5392703526477067,-2.5486006270547406
9,0.4338828720447808,-3.8424650549934602
10,0.35180454782275095,-5.038070781082005
11,0.28746216853100487,-6.086865504202002
12,0.2349952743433686,-7.018342876306934
13,0.18962547115927916,-7.876964368259265
14,0.1543568019229838,-8.578028777422876
15,0.12733600051963664,-9.13558882496744
16,0.10519712536550856,-9.605484406359343
17,0.08659979628242755,-10.009497779718886
18,0.07073861705198409,-10.360561169801892
19,0.05827291732775096,-10.640703644018519
20,0.04844628254881068,-10.864182940904495
21,0.03979334322908121,-11.062920219497176
22,0.032964774869104214,-11.22100468254581
23,0.027488250784840386,-11.348603936575907
24,0.02287866044512744,-11.45656966039026
25,0.01889600711427276,-11.55026474964183
26,0.015518004681956377,-11.63003204144984
27,0.012904849128324824,-11.691924677834754
28,0.010810451479330577,-11.74165024857252
29,0.008987640242192773,-11.785014992273966
30,0.007465400632846361,-11.821289601123777
31,0.0061737568178193555,-11.852113331663553
32,0.005126614309524733,-11.877131472766745
33,0.00426495083519413,-11.897738150525644
34,0.0035366417858087927,-11.915169683234636
35,0.0029459864432628173,-11.92931582678176
36,0.0024567835511850695,-11.941038699562139
37,0.0020475859986781334,-11.95084880530768
38,0.0016931981687859652,-11.959348224706039
39,0.0014022502060443605,-11.966328397433855
40,0.0011719862548111425,-11.971854153534128
41,0.0009737288762126185,-11.97661289709484
42,0.0008060024986783497,-11.980639560461702
43,0.0006652711684295404,-11.984018690783744
44,0.0005501065891185779,-11.986784301076899
45,0.000457784973504748,-11.989001597556179
46,0.00038020446213672844,-11.990865029893367
47,0.00031486122123637627,-11.992434655636513
48,0.0002599261488326941,-11.993754356087878
49,0.0002148006200305335,-11.994838467534455
50,0.00017630121890831874,-11.995763439599793
51,0.00014482675202326403,-11.996519668110723
52,0.00011982988644767101,-11.99712028536166
53,9.880909524413708e-05,-11.997625384846627
54,8.148382201602466e-05,-11.99804170003052
55,6.659543003165674e-05,-11.998399469657802
56,5.4483266751112444e-05,-11.998690534672777
57,4.470023336805167e-05,-11.998925635329185
58,3.663839292442438e-05,-11.999119378201762
59,2.998330696651907e-05,-11.999279317955352
60,2.4405672174236574e-05,-11.999413367016123
61,1.9835695279288518e-05,-11.999523201505399
62,1.6105457755269348e-05,-11.999612856024088
63,1.3102544604133186e-05,-11.999685031470467
64,1.0675825685988066e-05,-11.999743359442258
65,8.639496734976568e-06,-11.999792305395463
66,7.000153000040414e-06,-11.999831710227317
67,5.678099642751249e-06,-11.999863489251418
68,4.580368962794737e-06,-11.999889876777504
69,3.7131575168041184e-06,-11.999910723501264
70,3.0240767764039305e-06,-11.999927288725697
71,2.4849481882827515e-06,-11.999940249374502
72,2.0334233557881603e-06,-11.999951104464394
73,1.6954500984382732e-06,-11.999959229766349
74,1.4401975847375035e-06,-11.999965366602389
75,1.1798952200303369e-06,-11.999971625358201
76,8.778032830341348e-07,-11.999978889313974
77,6.793256309558318e-07,-11.999983661965452
78,5.454002739985245e-07,-11.999986882367828
79,4.2479424832163645e-07,-11.999989782716675
80,3.36841055417013e-07,-11.999991897835507
81,2.6901117632443027e-07,-11.999993529092166
82,2.0199810845539456e-07,-11.999995140853429
83,1.6364854338485407e-07,-11.999996063183806
84,1.2658779033105044e-07,-11.999996954603953
85,1.0117857758844346e-07,-11.999997565772668
86,7.828754303306932e-08,-11.999998116411332
87,6.01056665501814e-08,-11.999998553796477
88,4.719488794707902e-08,-11.999998864383699
89,3.6741233290387885e-08,-11.999999115882348
90,2.8683388654092256e-08,-11.999999309743462
91,2.2280054072391822e-08,-11.99999946381092
92,1.7082049569480238e-08,-11.999999588881948
93,1.3830947039327058e-08,-11.999999667110389
94,1.0297104499506335e-08,-11.999999752151082
95,8.212676030523034e-09,-11.999999802310478
96,6.083987270671599e-09,-11.99999985354235
97,5.04381475534018e-09,-11.999999878575055
98,3.768781185931684e-09,-11.999999909264274
99,3.061473429298984e-09,-11.999999926288837
100,2.4018082268504004e-09,-11.999999942167593
101,1.955327214944235e-09,-11.999999952915276
102,1.6029520403558702e-09,-11.999999961397933
103,1.386671090268664e-09,-11.999999966604607
104,1.232017218975623e-09,-11.99999997032777
105,1.1822299953715698e-09,-11.999999971526375
